"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 02 13:32:01 GMT-03:00 2021","Sat Oct 02 13:32:02 GMT-03:00 2021","1129","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Sat Oct 02 13:32:43 GMT-03:00 2021","Sat Oct 02 13:32:44 GMT-03:00 2021","1308","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Sat Oct 02 13:30:06 GMT-03:00 2021","Sat Oct 02 13:30:07 GMT-03:00 2021","1521","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sat Oct 02 13:29:11 GMT-03:00 2021","Sat Oct 02 13:29:14 GMT-03:00 2021","2906","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Sat Oct 02 13:30:04 GMT-03:00 2021","Sat Oct 02 13:30:06 GMT-03:00 2021","1236","","Cypress.Cookies","","","",".defaults() - set defaults for all cookies",""
"passed","Sat Oct 02 13:30:14 GMT-03:00 2021","Sat Oct 02 13:30:16 GMT-03:00 2021","1380","","Cypress.spec","","","","Get current spec information",""
"passed","Sat Oct 02 13:31:16 GMT-03:00 2021","Sat Oct 02 13:31:20 GMT-03:00 2021","4034","","Navigation","","","","cy.reload() - reload the page",""
"passed","Sat Oct 02 13:32:52 GMT-03:00 2021","Sat Oct 02 13:32:55 GMT-03:00 2021","2734","","Utilities","","","","Cypress._ - call a lodash method",""
"passed","Sat Oct 02 13:29:21 GMT-03:00 2021","Sat Oct 02 13:29:23 GMT-03:00 2021","2055","Connectors",".then()","","","","yields the original subject without return",""
"passed","Sat Oct 02 13:33:24 GMT-03:00 2021","Sat Oct 02 13:33:27 GMT-03:00 2021","3238","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Sat Oct 02 13:32:40 GMT-03:00 2021","Sat Oct 02 13:32:41 GMT-03:00 2021","978","","Traversal","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sat Oct 02 13:32:30 GMT-03:00 2021","Sat Oct 02 13:32:31 GMT-03:00 2021","1265","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Sat Oct 02 13:29:36 GMT-03:00 2021","Sat Oct 02 13:29:40 GMT-03:00 2021","3943","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Sat Oct 02 13:30:03 GMT-03:00 2021","Sat Oct 02 13:30:04 GMT-03:00 2021","1597","","Cypress.Cookies","","","",".preserveOnce() - preserve cookies by key",""
"passed","Sat Oct 02 13:30:35 GMT-03:00 2021","Sat Oct 02 13:30:39 GMT-03:00 2021","3816","","Local Storage","","","","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Sat Oct 02 13:28:47 GMT-03:00 2021","Sat Oct 02 13:28:49 GMT-03:00 2021","2073","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Sat Oct 02 13:31:01 GMT-03:00 2021","Sat Oct 02 13:31:04 GMT-03:00 2021","3638","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Sat Oct 02 13:32:10 GMT-03:00 2021","Sat Oct 02 13:32:13 GMT-03:00 2021","2765","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"passed","Sat Oct 02 13:30:45 GMT-03:00 2021","Sat Oct 02 13:30:46 GMT-03:00 2021","1127","","Location","","","","cy.location() - get window.location",""
"passed","Sat Oct 02 13:33:34 GMT-03:00 2021","Sat Oct 02 13:33:35 GMT-03:00 2021","1202","","Window","","","","cy.document() - get the document object",""
"passed","Sat Oct 02 13:30:24 GMT-03:00 2021","Sat Oct 02 13:30:26 GMT-03:00 2021","1881","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Sat Oct 02 13:30:10 GMT-03:00 2021","Sat Oct 02 13:30:10 GMT-03:00 2021","933","","Cypress.env()","","","","Get environment variables",""
"passed","Sat Oct 02 13:30:12 GMT-03:00 2021","Sat Oct 02 13:30:13 GMT-03:00 2021","1175","","Cypress.platform","","","","Get underlying OS name",""
"passed","Sat Oct 02 13:33:17 GMT-03:00 2021","Sat Oct 02 13:33:24 GMT-03:00 2021","7444","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Sat Oct 02 13:29:16 GMT-03:00 2021","Sat Oct 02 13:29:19 GMT-03:00 2021","2667","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sat Oct 02 13:28:52 GMT-03:00 2021","Sat Oct 02 13:28:54 GMT-03:00 2021","2223","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Sat Oct 02 13:32:34 GMT-03:00 2021","Sat Oct 02 13:32:35 GMT-03:00 2021","1348","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Sat Oct 02 13:28:55 GMT-03:00 2021","Sat Oct 02 13:28:59 GMT-03:00 2021","3394","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Sat Oct 02 13:27:26 GMT-03:00 2021","Sat Oct 02 13:27:29 GMT-03:00 2021","3409","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Sat Oct 02 13:29:14 GMT-03:00 2021","Sat Oct 02 13:29:16 GMT-03:00 2021","1757","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Sat Oct 02 13:27:44 GMT-03:00 2021","Sat Oct 02 13:27:51 GMT-03:00 2021","6344","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Sat Oct 02 13:28:54 GMT-03:00 2021","Sat Oct 02 13:28:55 GMT-03:00 2021","1466","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Sat Oct 02 13:32:35 GMT-03:00 2021","Sat Oct 02 13:32:37 GMT-03:00 2021","1215","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Sat Oct 02 13:29:09 GMT-03:00 2021","Sat Oct 02 13:29:11 GMT-03:00 2021","2027","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Sat Oct 02 13:32:22 GMT-03:00 2021","Sat Oct 02 13:32:25 GMT-03:00 2021","2881","","Traversal","","","",".children() - get child DOM elements",""
"passed","Sat Oct 02 13:30:11 GMT-03:00 2021","Sat Oct 02 13:30:12 GMT-03:00 2021","1239","","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Sat Oct 02 13:31:40 GMT-03:00 2021","Sat Oct 02 13:31:42 GMT-03:00 2021","1988","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Sat Oct 02 13:32:27 GMT-03:00 2021","Sat Oct 02 13:32:29 GMT-03:00 2021","1420","","Traversal","","","",".eq() - get a DOM element at a specific index",""
